0,1,2,3,4
Person1,Person2,0.5917,[-3 -1 -6 -7 -8  2 -3  0 -1  0 -1  1  1 -3  3 -1  1  3  1 -3 -1  3 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person20,0.5837,[-2 -2 -3 -4 -7  0 -4  3 -1 -3 -2 -3  3 -2 -3 -3  1  1 -1  1  0  3 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person19,0.5786,[-6 -2 -6 -5 -6  0 -4  0 -1  3 -2  3  3  0  2 -1  1 -1  1 -2  3  3  1],"Tuesday, Sunday, Monday, Friday, Thursday"
Person1,Person25,0.5606,[-3 -4 -2 -1 -8 -2 -1  2 -1  2  2  2  2  1  2 -3  0 -1 -3 -2  2  3  1],"Sunday, Friday"
Person1,Person31,0.5271,"[ -3   0  -9 -13  -4  -3  -2   1  -2   2   1   3   3   1  -1   1   1  -2
   0   2  -1   2   2]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person6,0.5185,"[ -2  -7  -1 -11  -6   3  -3  -1   2   3   2   3   3   3  -2   3   0   2
   0   3   2   3   1]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person35,0.4948,[-2  0 -3 -3 -6 -4 -3  1 -3  0  1  3  3 -3 -3 -2  1  1  0  3  0  2 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person156,0.4920,[-9  0 -3 -3 -5 -2 -2  1  1  2  1  3  3 -3 -1  3  1  2  1  2  3  0  2],"Tuesday, Sunday, Monday, Thursday, Wednesday"
Person1,Person26,0.4640,[-5  3 -2 -5 -4 -3  0  0 -2  1  2 -1  2 -1  1 -1  1 -1 -2 -2  1  0 -2],"Tuesday, Monday, Friday, Thursday, Wednesday"
Person1,Person4,0.4497,[ 5 -6 -6 -7  0 -6 -5  0 -4  1  0  0  0 -2  3 -1  1  3  2  1 -2  2  0],"Tuesday, Thursday, Wednesday, Friday"
Person1,Person17,0.4444,[-5  1 -6 -6 -3 -1 -4  2  1  2 -1  2  3 -3 -2  1  1  3 -1  1  2  3  2],"Tuesday, Sunday, Monday, Thursday, Wednesday"
Person1,Person30,0.4409,[ 2 -2 -2 -8 -4 -5 -4  0 -2  0 -1  3  2 -2  3 -3  1  2 -3  2  1  1  0],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person13,0.4246,[-3 -4  1 -1 -5 -2 -3  0  0  2  2  3  3 -3  1  2 -1  2  1  2  2  3  1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person186,0.4017,[-2  0 -4 -3 -2  1 -3 -2  0  1  2  3  2 -2  1  2  1  2 -2  1  1  1  1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person187,0.3802,[-3 -4  0 -9 -4  2 -2  1  3  3 -2  2  3 -3 -3  3  1  3  3 -2  2  3  3],"Monday, Sunday, Wednesday"
Person1,Person32,0.2670,[-2 -1 -4 -4  1 -4 -3 -2  0  1  1  3  3  3 -1  1  1  2  0  1  2  3  3],"Tuesday, Monday, Friday, Thursday, Wednesday"
Person1,Person33,0.2593,[ 5 -5 -4 -2 -1 -2 -5  0 -6  1  2  3  3  0 -1 -1  1  2 -1  3  3  2  3],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person15,0.1582,[ 2 -1 -7 -4 -1  2 -1  1  1  1  1  3  2  3 -2  2  0  3  2  1  1  2  2],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person7,0.0624,[ 0 -1  3 -3 -2  0  0 -3 -1  2  2  3  3 -2 -2  3  1  3  0  3  3  2 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person2,Person19,0.8011,[-6 -2 -6 -5 -6  0 -4  0 -1  3 -2  3  3  0  2 -1  1 -1  1 -2  3  3  1],"Tuesday, Sunday, Monday, Friday, Thursday"
Person2,Person29,0.7095,"[ -5 -10  -3 -11  -3   3  -3  -2   0  -1  -2   1   3  -1   3  -2   1   1
   1  -1   1   2   0]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person2,Person20,0.6788,[-2 -2 -3 -4 -7  0 -4  3 -1 -3 -2 -3  3 -2 -3 -3  1  1 -1  1  0  3 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person2,Person11,0.6776,"[-12  -8  -8  -8  -8   1  -3  -2   2   0   1   3   2   0  -3   0   1   2
  -3   1   3   3   1]","Tuesday, Sunday, Thursday"
Person2,Person186,0.6490,[-2  0 -4 -3 -2  1 -3 -2  0  1  2  3  2 -2  1  2  1  2 -2  1  1  1  1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person2,Person180,0.6089,[-5 -3 -4 -4 -4  0 -1  1  1  0  1  1  0  0 -2  1  1 -2  1  1  0  1  1],"Tuesday, Sunday, Thursday, Friday"
Person2,Person28,0.5983,[-3 -7 -5 -5 -5 -1  0  0  0  1 -1  3  2  3 -3 -1  1  2  1  1  0  3  0],"Sunday, Thursday"
Person2,Person30,0.5937,[ 2 -2 -2 -8 -4 -5 -4  0 -2  0 -1  3  2 -2  3 -3  1  2 -3  2  1  1  0],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person2,Person26,0.5829,[-5  3 -2 -5 -4 -3  0  0 -2  1  2 -1  2 -1  1 -1  1 -1 -2 -2  1  0 -2],"Tuesday, Monday, Friday, Thursday, Wednesday"
Person2,Person35,0.5757,[-2  0 -3 -3 -6 -4 -3  1 -3  0  1  3  3 -3 -3 -2  1  1  0  3  0  2 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person2,Person25,0.5749,[-3 -4 -2 -1 -8 -2 -1  2 -1  2  2  2  2  1  2 -3  0 -1 -3 -2  2  3  1],"Sunday, Friday"
Person2,Person8,0.5719,[-3 -7 -6 -2 -3  3 -4  0  0  2  0  1  1  2  1  0  0  1 -2  1  1  1  1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person2,Person18,0.4838,[-4 -5  0 -4 -4 -1  0 -1 -1  0  0  0  1 -1  0 -2  1 -2 -2  1  2  1  1],"Sunday, Thursday, Friday"
Person2,Person4,0.4776,[ 5 -6 -6 -7  0 -6 -5  0 -4  1  0  0  0 -2  3 -1  1  3  2  1 -2  2  0],"Tuesday, Thursday, Wednesday, Friday"
Person2,Person15,0.4441,[ 2 -1 -7 -4 -1  2 -1  1  1  1  1  3  2  3 -2  2  0  3  2  1  1  2  2],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person2,Person32,0.3082,[-2 -1 -4 -4  1 -4 -3 -2  0  1  1  3  3  3 -1  1  1  2  0  1  2  3  3],"Tuesday, Monday, Friday, Thursday, Wednesday"
Person2,Person169,0.2184,[ 1 -2  0  2 -4 -3  0  1  0  1  0  1  3 -3  3  2 -1  2  2  3  1  2  2],"Monday, Tuesday, Sunday, Wednesday"
Person3,Person11,0.8212,"[-12  -8  -8  -8  -8   1  -3  -2   2   0   1   3   2   0  -3   0   1   2
  -3   1   3   3   1]","Tuesday, Sunday, Thursday"
Person3,Person191,0.8147,[-7 -5 -5 -8 -6 -3 -2  0  0  2  1  2  3 -1 -2 -1  1 -1 -2 -2 -2  2  0],"Thursday, Wednesday, Friday"
Person3,Person36,0.8106,[-9 -3 -8 -8 -9 -6 -2 -5  1  1 -2  3  3 -2  0  2 -1  2 -2  0  2  1 -2],"Tuesday, Sunday, Friday, Thursday, Wednesday"
Person3,Person23,0.8012,"[ -9  -6  -5 -13  -8  -2  -1  -3   2   0  -1   3   3  -3  -2   1   1   0
  -1  -1   0   1   1]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person28,0.7761,[-3 -7 -5 -5 -5 -1  0  0  0  1 -1  3  2  3 -3 -1  1  2  1  1  0  3  0],"Sunday, Thursday"
Person3,Person25,0.7665,[-3 -4 -2 -1 -8 -2 -1  2 -1  2  2  2  2  1  2 -3  0 -1 -3 -2  2  3  1],"Sunday, Friday"
Person3,Person18,0.7515,[-4 -5  0 -4 -4 -1  0 -1 -1  0  0  0  1 -1  0 -2  1 -2 -2  1  2  1  1],"Sunday, Thursday, Friday"
Person3,Person19,0.7498,[-6 -2 -6 -5 -6  0 -4  0 -1  3 -2  3  3  0  2 -1  1 -1  1 -2  3  3  1],"Tuesday, Sunday, Monday, Friday, Thursday"
Person3,Person42,0.7420,[-5 -4 -5 -5 -2  0 -2 -2 -1  0 -1  1  1  2  0  1  1  3 -2  0  0  1  2],"Tuesday, Sunday, Thursday, Wednesday"
Person3,Person40,0.7407,[-7 -3 -6 -6  0  0 -2  1  1  0  1  2  3  2  0  1  1  1  1  2  1  2  2],"Tuesday, Sunday, Monday, Friday, Wednesday"
Person3,Person5,0.7360,"[ -5  -4  -5 -10  -5   1  -4   0   2   2   0   3   3  -2  -2   1   1   3
  -2  -2   2   2   0]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person39,0.7299,[-5 -3 -7 -3 -5 -1 -4 -2  0  2  0  2  3  2  0  1  1  1  0 -2 -2  1  0],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person6,0.7169,"[ -2  -7  -1 -11  -6   3  -3  -1   2   3   2   3   3   3  -2   3   0   2
   0   3   2   3   1]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person156,0.7015,[-9  0 -3 -3 -5 -2 -2  1  1  2  1  3  3 -3 -1  3  1  2  1  2  3  0  2],"Tuesday, Sunday, Monday, Thursday, Wednesday"
Person3,Person29,0.6902,"[ -5 -10  -3 -11  -3   3  -3  -2   0  -1  -2   1   3  -1   3  -2   1   1
   1  -1   1   2   0]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person22,0.6877,"[ -6  -3   1  -6 -11  -1  -4   0   1   0   0  -2   0  -2  -1   3   1   2
  -2  -1  -1   3   1]","Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person1,0.6860,"[-14 -18 -10 -10 -10  -3  -4  -1  -4  -1   2  -3  -3  -3  -1  -3   1   0
  -3   1  -3  -3  -3]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person31,0.6844,"[ -3   0  -9 -13  -4  -3  -2   1  -2   2   1   3   3   1  -1   1   1  -2
   0   2  -1   2   2]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person37,0.6707,"[ -1  -5   1 -12  -6  -1  -2  -1  -4   1  -1   0   1   1   2   1   0   2
  -3   1   0  -1   0]","Monday, Tuesday, Sunday, Friday"
Person3,Person2,0.6676,[-3 -1 -6 -7 -8  2 -3  0 -1  0 -1  1  1 -3  3 -1  1  3  1 -3 -1  3 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person13,0.6674,[-3 -4  1 -1 -5 -2 -3  0  0  2  2  3  3 -3  1  2 -1  2  1  2  2  3  1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person167,0.6643,[-9 -3 -8 -6 -5  3 -1  0 -4  1  2  2  2  1 -3  2  0  2 -3 -1  1  1 -3],"Monday, Tuesday, Sunday, Wednesday"
Person3,Person26,0.6279,[-5  3 -2 -5 -4 -3  0  0 -2  1  2 -1  2 -1  1 -1  1 -1 -2 -2  1  0 -2],"Tuesday, Monday, Friday, Thursday, Wednesday"
Person3,Person30,0.6265,[ 2 -2 -2 -8 -4 -5 -4  0 -2  0 -1  3  2 -2  3 -3  1  2 -3  2  1  1  0],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person17,0.6263,[-5  1 -6 -6 -3 -1 -4  2  1  2 -1  2  3 -3 -2  1  1  3 -1  1  2  3  2],"Tuesday, Sunday, Monday, Thursday, Wednesday"
Person3,Person35,0.6132,[-2  0 -3 -3 -6 -4 -3  1 -3  0  1  3  3 -3 -3 -2  1  1  0  3  0  2 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person21,0.5949,[-3 -5 -3 -5 -2  1 -3  2  1 -2  0  2  0  0 -3  0  0  3 -2  1  2  0 -1],"Tuesday, Sunday, Monday, Friday, Wednesday"
Person3,Person186,0.5945,[-2  0 -4 -3 -2  1 -3 -2  0  1  2  3  2 -2  1  2  1  2 -2  1  1  1  1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person32,0.5752,[-2 -1 -4 -4  1 -4 -3 -2  0  1  1  3  3  3 -1  1  1  2  0  1  2  3  3],"Tuesday, Monday, Friday, Thursday, Wednesday"
Person3,Person9,0.5573,"[ -3  -7  -7 -11  -4  -8  -4  -3  -5  -2  -1   0  -2  -2  -2  -2  -1   3
   1  -1   1  -3   0]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person20,0.5253,[-2 -2 -3 -4 -7  0 -4  3 -1 -3 -2 -3  3 -2 -3 -3  1  1 -1  1  0  3 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person187,0.5232,[-3 -4  0 -9 -4  2 -2  1  3  3 -2  2  3 -3 -3  3  1  3  3 -2  2  3  3],"Monday, Sunday, Wednesday"
Person3,Person16,0.5135,[-7  0 -6 -6 -2  0 -3 -2 -5  0 -2 -2  2  1 -3  0  1  3 -3  0 -1  0 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person10,0.4077,[-1 -5 -6 -5 -1 -5 -4 -3 -2 -1  0 -3 -3 -1  1 -1  1  2 -2 -2  0 -2 -2],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person15,0.3834,[ 2 -1 -7 -4 -1  2 -1  1  1  1  1  3  2  3 -2  2  0  3  2  1  1  2  2],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person4,0.3649,[ 5 -6 -6 -7  0 -6 -5  0 -4  1  0  0  0 -2  3 -1  1  3  2  1 -2  2  0],"Tuesday, Thursday, Wednesday, Friday"
Person3,Person7,0.3630,[ 0 -1  3 -3 -2  0  0 -3 -1  2  2  3  3 -2 -2  3  1  3  0  3  3  2 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person3,Person33,0.2893,[ 5 -5 -4 -2 -1 -2 -5  0 -6  1  2  3  3  0 -1 -1  1  2 -1  3  3  2  3],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person4,Person9,0.7202,"[ -3  -7  -7 -11  -4  -8  -4  -3  -5  -2  -1   0  -2  -2  -2  -2  -1   3
   1  -1   1  -3   0]","Tuesday, Thursday, Wednesday, Friday"
Person4,Person10,0.7099,[-1 -5 -6 -5 -1 -5 -4 -3 -2 -1  0 -3 -3 -1  1 -1  1  2 -2 -2  0 -2 -2],"Tuesday, Thursday, Wednesday, Friday"
Person4,Person37,0.5370,"[ -1  -5   1 -12  -6  -1  -2  -1  -4   1  -1   0   1   1   2   1   0   2
  -3   1   0  -1   0]","Tuesday, Friday"
Person4,Person2,0.4776,[-3 -1 -6 -7 -8  2 -3  0 -1  0 -1  1  1 -3  3 -1  1  3  1 -3 -1  3 -1],"Tuesday, Thursday, Wednesday, Friday"
Person4,Person190,0.4741,[-1 -3 -3 -4 -2 -1 -3  0  1  1  2  3  3 -3 -3  3  0  3  1  3  0  1  3],Friday
Person4,Person191,0.4195,[-7 -5 -5 -8 -6 -3 -2  0  0  2  1  2  3 -1 -2 -1  1 -1 -2 -2 -2  2  0],"Thursday, Wednesday, Friday"
Person4,Person5,0.4076,"[ -5  -4  -5 -10  -5   1  -4   0   2   2   0   3   3  -2  -2   1   1   3
  -2  -2   2   2   0]","Tuesday, Thursday, Wednesday, Friday"
Person4,Person41,0.3925,[-6 -4  2 -7 -5 -5 -3 -1 -1  0 -1  1  2 -1  0  1  0  3 -3  1  0  2  0],"Thursday, Wednesday, Friday"
Person4,Person36,0.3681,[-9 -3 -8 -8 -9 -6 -2 -5  1  1 -2  3  3 -2  0  2 -1  2 -2  0  2  1 -2],"Tuesday, Thursday, Wednesday, Friday"
Person4,Person3,0.3649,[-6 -4 -3 -6 -7 -3  0  0  1  1  2  2  3  2  3 -1  1  2 -1  2  1  2  0],"Tuesday, Thursday, Wednesday, Friday"
Person4,Person17,0.3637,[-5  1 -6 -6 -3 -1 -4  2  1  2 -1  2  3 -3 -2  1  1  3 -1  1  2  3  2],"Tuesday, Thursday, Wednesday"
Person4,Person6,0.3598,"[ -2  -7  -1 -11  -6   3  -3  -1   2   3   2   3   3   3  -2   3   0   2
   0   3   2   3   1]","Tuesday, Thursday, Wednesday, Friday"
Person4,Person23,0.3578,"[ -9  -6  -5 -13  -8  -2  -1  -3   2   0  -1   3   3  -3  -2   1   1   0
  -1  -1   0   1   1]","Tuesday, Thursday, Wednesday, Friday"
Person4,Person21,0.3572,[-3 -5 -3 -5 -2  1 -3  2  1 -2  0  2  0  0 -3  0  0  3 -2  1  2  0 -1],"Tuesday, Wednesday, Friday"
Person4,Person40,0.3408,[-7 -3 -6 -6  0  0 -2  1  1  0  1  2  3  2  0  1  1  1  1  2  1  2  2],"Tuesday, Wednesday, Friday"
Person4,Person38,0.3391,[-1 -3 -2 -3  2  0  2  1  1 -1 -2  2  3  2  2  0 -1  3  1  2 -1  1  2],Wednesday
Person4,Person16,0.3148,[-7  0 -6 -6 -2  0 -3 -2 -5  0 -2 -2  2  1 -3  0  1  3 -3  0 -1  0 -1],"Tuesday, Thursday, Wednesday, Friday"
Person4,Person13,0.3106,[-3 -4  1 -1 -5 -2 -3  0  0  2  2  3  3 -3  1  2 -1  2  1  2  2  3  1],"Tuesday, Thursday, Wednesday, Friday"
Person4,Person187,0.2849,[-3 -4  0 -9 -4  2 -2  1  3  3 -2  2  3 -3 -3  3  1  3  3 -2  2  3  3],Wednesday
Person4,Person22,0.2073,"[ -6  -3   1  -6 -11  -1  -4   0   1   0   0  -2   0  -2  -1   3   1   2
  -2  -1  -1   3   1]","Thursday, Wednesday, Friday"
Person4,Person167,0.1917,[-9 -3 -8 -6 -5  3 -1  0 -4  1  2  2  2  1 -3  2  0  2 -3 -1  1  1 -3],"Tuesday, Wednesday"
Person4,Person156,0.0834,[-9  0 -3 -3 -5 -2 -2  1  1  2  1  3  3 -3 -1  3  1  2  1  2  3  0  2],"Tuesday, Thursday, Wednesday"
Person5,Person23,0.8987,"[ -9  -6  -5 -13  -8  -2  -1  -3   2   0  -1   3   3  -3  -2   1   1   0
  -1  -1   0   1   1]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person11,0.8756,"[-12  -8  -8  -8  -8   1  -3  -2   2   0   1   3   2   0  -3   0   1   2
  -3   1   3   3   1]","Tuesday, Sunday, Thursday"
Person5,Person191,0.8608,[-7 -5 -5 -8 -6 -3 -2  0  0  2  1  2  3 -1 -2 -1  1 -1 -2 -2 -2  2  0],"Thursday, Wednesday, Friday"
Person5,Person17,0.8537,[-5  1 -6 -6 -3 -1 -4  2  1  2 -1  2  3 -3 -2  1  1  3 -1  1  2  3  2],"Tuesday, Sunday, Monday, Thursday, Wednesday"
Person5,Person187,0.8339,[-3 -4  0 -9 -4  2 -2  1  3  3 -2  2  3 -3 -3  3  1  3  3 -2  2  3  3],"Monday, Sunday, Wednesday"
Person5,Person6,0.8155,"[ -2  -7  -1 -11  -6   3  -3  -1   2   3   2   3   3   3  -2   3   0   2
   0   3   2   3   1]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person21,0.8136,[-3 -5 -3 -5 -2  1 -3  2  1 -2  0  2  0  0 -3  0  0  3 -2  1  2  0 -1],"Tuesday, Sunday, Monday, Friday, Wednesday"
Person5,Person19,0.8007,[-6 -2 -6 -5 -6  0 -4  0 -1  3 -2  3  3  0  2 -1  1 -1  1 -2  3  3  1],"Tuesday, Sunday, Monday, Friday, Thursday"
Person5,Person36,0.8001,[-9 -3 -8 -8 -9 -6 -2 -5  1  1 -2  3  3 -2  0  2 -1  2 -2  0  2  1 -2],"Tuesday, Sunday, Friday, Thursday, Wednesday"
Person5,Person29,0.7926,"[ -5 -10  -3 -11  -3   3  -3  -2   0  -1  -2   1   3  -1   3  -2   1   1
   1  -1   1   2   0]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person2,0.7868,[-3 -1 -6 -7 -8  2 -3  0 -1  0 -1  1  1 -3  3 -1  1  3  1 -3 -1  3 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person167,0.7801,[-9 -3 -8 -6 -5  3 -1  0 -4  1  2  2  2  1 -3  2  0  2 -3 -1  1  1 -3],"Monday, Tuesday, Sunday, Wednesday"
Person5,Person186,0.7648,[-2  0 -4 -3 -2  1 -3 -2  0  1  2  3  2 -2  1  2  1  2 -2  1  1  1  1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person40,0.7600,[-7 -3 -6 -6  0  0 -2  1  1  0  1  2  3  2  0  1  1  1  1  2  1  2  2],"Tuesday, Sunday, Monday, Friday, Wednesday"
Person5,Person180,0.7523,[-5 -3 -4 -4 -4  0 -1  1  1  0  1  1  0  0 -2  1  1 -2  1  1  0  1  1],"Tuesday, Sunday, Thursday, Friday"
Person5,Person28,0.7506,[-3 -7 -5 -5 -5 -1  0  0  0  1 -1  3  2  3 -3 -1  1  2  1  1  0  3  0],"Sunday, Thursday"
Person5,Person3,0.7360,[-6 -4 -3 -6 -7 -3  0  0  1  1  2  2  3  2  3 -1  1  2 -1  2  1  2  0],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person41,0.7168,[-6 -4  2 -7 -5 -5 -3 -1 -1  0 -1  1  2 -1  0  1  0  3 -3  1  0  2  0],"Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person22,0.7147,"[ -6  -3   1  -6 -11  -1  -4   0   1   0   0  -2   0  -2  -1   3   1   2
  -2  -1  -1   3   1]","Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person190,0.7140,[-1 -3 -3 -4 -2 -1 -3  0  1  1  2  3  3 -3 -3  3  0  3  1  3  0  1  3],"Sunday, Friday"
Person5,Person8,0.6924,[-3 -7 -6 -2 -3  3 -4  0  0  2  0  1  1  2  1  0  0  1 -2  1  1  1  1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person37,0.6785,"[ -1  -5   1 -12  -6  -1  -2  -1  -4   1  -1   0   1   1   2   1   0   2
  -3   1   0  -1   0]","Monday, Tuesday, Sunday, Friday"
Person5,Person16,0.6584,[-7  0 -6 -6 -2  0 -3 -2 -5  0 -2 -2  2  1 -3  0  1  3 -3  0 -1  0 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person18,0.6344,[-4 -5  0 -4 -4 -1  0 -1 -1  0  0  0  1 -1  0 -2  1 -2 -2  1  2  1  1],"Sunday, Thursday, Friday"
Person5,Person9,0.6272,"[ -3  -7  -7 -11  -4  -8  -4  -3  -5  -2  -1   0  -2  -2  -2  -2  -1   3
   1  -1   1  -3   0]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person20,0.6130,[-2 -2 -3 -4 -7  0 -4  3 -1 -3 -2 -3  3 -2 -3 -3  1  1 -1  1  0  3 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person30,0.6057,[ 2 -2 -2 -8 -4 -5 -4  0 -2  0 -1  3  2 -2  3 -3  1  2 -3  2  1  1  0],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person5,Person32,0.5921,[-2 -1 -4 -4  1 -4 -3 -2  0  1  1  3  3  3 -1  1  1  2  0  1  2  3  3],"Tuesday, Monday, Friday, Thursday, Wednesday"
Person5,Person35,0.5825,[-2  0 -3 -3 -6 -4 -3  1 -3  0  1  3  3 -3 -3 -2  1  1  0  3  0  2 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
